Grid Scores:

0.576 (+/-0.068) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.004}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.621 (+/-0.058) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.619 (+/-0.076) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.582 (+/-0.060) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.576 (+/-0.068) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.621 (+/-0.058) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.619 (+/-0.076) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.582 (+/-0.060) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.576 (+/-0.068) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0001}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0002}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0003}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.004}
0.621 (+/-0.058) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0001}
0.619 (+/-0.076) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0002}
0.582 (+/-0.060) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0003}
0.576 (+/-0.068) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.004}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0001}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0002}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0003}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.004}
0.621 (+/-0.058) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0001}
0.619 (+/-0.076) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0002}
0.582 (+/-0.060) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0003}
0.576 (+/-0.068) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.004}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.658 (+/-0.045) for {'fit_intercept': True, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': True, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.621 (+/-0.058) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.619 (+/-0.076) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.582 (+/-0.060) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.576 (+/-0.068) for {'fit_intercept': True, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.524 (+/-0.102) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.550 (+/-0.120) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.558 (+/-0.117) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.577 (+/-0.065) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0001}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0002}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0003}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.004}
0.524 (+/-0.102) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0001}
0.550 (+/-0.120) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0002}
0.558 (+/-0.117) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.0003}
0.577 (+/-0.065) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 10, 'tol': 0.004}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0001}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0002}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0003}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.004}
0.524 (+/-0.102) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0001}
0.550 (+/-0.120) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0002}
0.558 (+/-0.117) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.0003}
0.577 (+/-0.065) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 20, 'tol': 0.004}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.524 (+/-0.102) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0001}
0.550 (+/-0.120) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0002}
0.558 (+/-0.117) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.0003}
0.577 (+/-0.065) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1000, 'multi_class': 'ovr', 'random_state': 30, 'tol': 0.004}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.531 (+/-0.078) for {'fit_intercept': False, 'C': 1.0, 'solver': 'newton-cg', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0003}
0.582 (+/-0.057) for {'fit_intercept': False, 'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.004}
0.524 (+/-0.102) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0001}
0.550 (+/-0.120) for {'fit_intercept': False, 'C': 1.0, 'solver': 'liblinear', 'max_iter': 1500, 'multi_class': 'ovr', 'random_state': 0, 'tol': 0.0002}
