Grid Scores:

0.648 (+/-0.033) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.029) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.648 (+/-0.026) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.022) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': True, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.644 (+/-0.066) for {'normalize': False, 'fit_intercept': True, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.022) for {'normalize': False, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.022) for {'normalize': False, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.022) for {'normalize': False, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.022) for {'normalize': False, 'fit_intercept': True, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.648 (+/-0.033) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.029) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.648 (+/-0.026) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.647 (+/-0.022) for {'normalize': False, 'fit_intercept': True, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.581 (+/-0.048) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': False, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': False, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': False, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': False, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.581 (+/-0.048) for {'normalize': False, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': False, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': False, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': False, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 500, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'svd', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': True, 'fit_intercept': False, 'solver': 'cholesky', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'lsqr', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.581 (+/-0.048) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0003, 'copy_X': True, 'alpha': 0.0001}
0.584 (+/-0.055) for {'normalize': True, 'fit_intercept': False, 'solver': 'sparse_cg', 'max_iter': 1000, 'tol': 0.0004, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0001, 'copy_X': True, 'alpha': 0.0001}
0.474 (+/-0.084) for {'normalize': False, 'fit_intercept': False, 'solver': 'auto', 'max_iter': 1000, 'tol': 0.0002, 'copy_X': True, 'alpha': 0.0001}
